"Your Kindle Notes For:",,,
"EXISTENTIAL KINK: UNMASK YOUR SHADOW AND EMBRACE YOUR POWER (A METHOD FOR GETTING WHAT YOU WANT BY GETTING OFF ON WHAT YOU DON'T)",,,
"by Carolyn Elliott",,,
"Free Kindle instant preview:",,,
"https://amzn.eu/bFiClD8",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 99","","“Until you make the unconscious, conscious, it will rule your life and you will call it Fate.”"
"Highlight (Yellow)","Location 99","","Until you make the unconscious, conscious, it will rule your life and you will call it Fate.”"
"Highlight (Yellow)","Location 112","","I realized that when you only focus on the light and positive thinking . . . then it's like you're staring up at the sun without looking down to notice that you were standing in a pile of feces. Something smells bad, but as long as you stare at the light then all the bad will go away. And instead of cleaning up the poo you spray perfume (affirmations) all over it. Meanwhile, shadow work is looking down at the shit so you can clean it up or even compost it into a lush garden."
"Highlight (Yellow)","Location 112","","I realized that when you only focus on the light and positive thinking . . . then it's like you're staring up at the sun without looking down to notice that you were standing in a pile of feces. Something smells bad, but as long as you stare at the light then all the bad will go away. And instead of cleaning up the poo you spray perfume (affirmations) all over it. Meanwhile, shadow work is looking down at the shit so you can clean it up or even compost it into a lush garden."
"Highlight (Yellow)","Location 119","","the idea that on some level we could want or enjoy “awful” things in our lives is scary and troubling to most people."
"Highlight (Yellow)","Location 119","","the idea that on some level we could want or enjoy “awful” things in our lives is scary and troubling to most people."
"Highlight (Yellow)","Location 123","","In fact, setting aside shame and blame is what allows us to make the enjoyment conscious, and thereby lets us remove its power to sneakily control us."
"Highlight (Yellow)","Location 123","","In fact, setting aside shame and blame is what allows us to make the enjoyment conscious, and thereby lets us remove its power to sneakily control us."
"Highlight (Yellow)","Location 135","","“Fear is excitement without the breath,” as Fritz Perls said. Well, often sensations that we experience as terrible or painful are just pleasure without approval."
"Highlight (Yellow)","Location 135","","“Fear is excitement without the breath,” as Fritz Perls said. Well, often sensations that we experience as terrible or painful are just pleasure without approval."
"Highlight (Yellow)","Location 168","","“She Who Destroys the Light.” Similar to the Hindu goddess Kali, Persephone was worshipped as the Goddess of Death. So long before there was Pluto, there was Persephone, alone. Persephone was a maiden goddess in the sense that she was undivided, complete, whole-unto-herself. She was called Kore, which means “maiden” but also “core, heart.” She was understood to be the core, the heart, the essence of everything."
"Highlight (Yellow)","Location 168","","“She Who Destroys the Light.” Similar to the Hindu goddess Kali, Persephone was worshipped as the Goddess of Death. So long before there was Pluto, there was Persephone, alone. Persephone was a maiden goddess in the sense that she was undivided, complete, whole-unto-herself. She was called Kore, which means “maiden” but also “core, heart.” She was understood to be the core, the heart, the essence of everything."
"Highlight (Yellow)","Location 175","","In modern astrology, Pluto represents the Unconscious Divine: all of those vast forces of death and terror and rape and evil and destruction and hoarding of wealth. In other words, all the terrible things in this world that we habitually refuse to identify with and to take personal responsibility for in order to maintain our feeling of being “regular” ego selves."
"Highlight (Yellow)","Location 175","","In modern astrology, Pluto represents the Unconscious Divine: all of those vast forces of death and terror and rape and evil and destruction and hoarding of wealth. In other words, all the terrible things in this world that we habitually refuse to identify with and to take personal responsibility for in order to maintain our feeling of being “regular” ego selves."
"Highlight (Yellow)","Location 181","","So, the Kore split in two: she created a benevolent, sweet, conscious self and a vicious, unconscious divine twin, Pluto. She split in order to experience herself as a separate, innocent individual—a perpetual little girl picking flowers in a meadow—AND, then to subsequently have the super-edgy, kinky experience of duality and sexuality and violence and all the terrifying thrills and chills that come with it."
"Highlight (Yellow)","Location 181","","So, the Kore split in two: she created a benevolent, sweet, conscious self and a vicious, unconscious divine twin, Pluto. She split in order to experience herself as a separate, innocent individual—a perpetual little girl picking flowers in a meadow—AND, then to subsequently have the super-edgy, kinky experience of duality and sexuality and violence and all the terrifying thrills and chills that come with it."
"Highlight (Yellow)","Location 188","","self-awareness that can only come from having experienced itself as terrifyingly Other."
"Highlight (Yellow)","Location 188","","self-awareness that can only come from having experienced itself as terrifyingly Other."
"Highlight (Yellow)","Location 189","","Pluto is everything we experience as Other (which is to say “out there” in the great “not me” of the world), that's too horrible and too vast and sublime and violent to personally identify with."
"Highlight (Yellow)","Location 189","","Pluto is everything we experience as Other (which is to say “out there” in the great “not me” of the world), that's too horrible and too vast and sublime and violent to personally identify with."
"Highlight (Yellow)","Location 195","","Mysteries of Eleusis—"
"Highlight (Yellow)","Location 195","","Mysteries of Eleusis—"
"Highlight (Yellow)","Location 198","","When she eats the seeds, she accepts the Underworld back into herself (literally ingests it) and remembers that she herself created Pluto by her own choice in order to experience herself as separate and innocent. It's an “aha” moment. As Persephone remembers this, she sees Pluto in a new light."
"Highlight (Yellow)","Location 198","","When she eats the seeds, she accepts the Underworld back into herself (literally ingests it) and remembers that she herself created Pluto by her own choice in order to experience herself as separate and innocent. It's an “aha” moment. As Persephone remembers this, she sees Pluto in a new light."
"Highlight (Yellow)","Location 200","","Instead of seeing a cruel monster, she sees a lover so selfless, so devoted, and so subservient, that he fully played the role of a malicious villain just because she asked him"
"Highlight (Yellow)","Location 200","","Instead of seeing a cruel monster, she sees a lover so selfless, so devoted, and so subservient, that he fully played the role of a malicious villain just because she asked him"
"Highlight (Yellow)","Location 203","","This is an awareness that could only come by experiencing her own power as Other."
"Highlight (Yellow)","Location 203","","This is an awareness that could only come by experiencing her own power as Other."
"Highlight (Yellow)","Location 204","","Pluto, the Unconscious Divine, hateful as he seems, is in truth our own creation, a kind and devoted lover, and that all the vast power of Pluto becomes available to us when we remember this, forgive him, take responsibility for our own experience of his power (which was really ours all along), and love him."
"Highlight (Yellow)","Location 204","","Pluto, the Unconscious Divine, hateful as he seems, is in truth our own creation, a kind and devoted lover, and that all the vast power of Pluto becomes available to us when we remember this, forgive him, take responsibility for our own experience of his power (which was really ours all along), and love him."
"Highlight (Yellow)","Location 207","","The dark side of our personality—the “other,” the shadow side, is dark not only because we don't (or won't) see it; it's dark because it's comprised of what we would consider our primitive, primal, or negative impulses—all of which we choose to keep hidden from our consciousness, and denied."
"Highlight (Yellow)","Location 207","","The dark side of our personality—the “other,” the shadow side, is dark not only because we don't (or won't) see it; it's dark because it's comprised of what we would consider our primitive, primal, or negative impulses—all of which we choose to keep hidden from our consciousness, and denied."
"Highlight (Yellow)","Location 223","","And what if that was absolutely great?"
"Highlight (Yellow)","Location 226","","all of us feel, at some level, that there's something unbearably deficient, horrible, ugly, and lacking about ourselves that we need to cover over (to hide, to bury, to run from) and we cover it over with accomplishment, with the approval of others, or with black tar heroin."
"Highlight (Yellow)","Location 226","","all of us feel, at some level, that there's something unbearably deficient, horrible, ugly, and lacking about ourselves that we need to cover over (to hide, to bury, to run from) and we cover it over with accomplishment, with the approval of others, or with black tar heroin."
"Highlight (Yellow)","Location 232","","Many of us are able to keep this repulsive, monstrous feeling of shameful inadequacy out of sight and out of mind in order to go about the business of being relatively functional adults."
"Highlight (Yellow)","Location 232","","Many of us are able to keep this repulsive, monstrous feeling of shameful inadequacy out of sight and out of mind in order to go about the business of being relatively functional adults."
"Highlight (Yellow)","Location 233","","Yet a significant number of folks find it necessary to numb and hide this sense of wrongness by using every available form of addiction—from social media to workaholism to porn to alcohol and drugs—"
"Highlight (Yellow)","Location 234","","from social media to workaholism to porn to alcohol and drugs—"
"Highlight (Yellow)","Location 234","","from social media to workaholism to porn to alcohol and drugs—"
"Highlight (Yellow)","Location 238","","Maybe these functional adults have plenty of happy, fulfilling things going on in their lives but they can't ever seem to make more than a certain amount of money each month, or over and over again they choose intimate partners who bear a striking resemblance to their abusive parent."
"Highlight (Yellow)","Location 238","","Maybe these functional adults have plenty of happy, fulfilling things going on in their lives but they can't ever seem to make more than a certain amount of money each month, or over and over again they choose intimate partners who bear a striking resemblance to their abusive parent."
"Highlight (Yellow)","Location 240","","Somehow, one way or another, for the majority of us humans—whether it's through our addictions or through our lousy patterns, our hidden sense of wrongness makes itself felt."
"Highlight (Yellow)","Location 240","","Somehow, one way or another, for the majority of us humans—whether it's through our addictions or through our lousy patterns, our hidden sense of wrongness makes itself felt."
"Highlight (Yellow)","Location 242","","I say: let's transmute that feeling of “wrongness” into raw, hot, glorious power."
"Highlight (Yellow)","Location 252","","God is one kinky-ass motherfucker. God—the divine—whatever He/She/IT is—creates this world, and this world is a gonzo horror show of war and rape and abuse and addiction and disaster. If God is running the show, God must like it this way!"
"Highlight (Yellow)","Location 252","","God is one kinky-ass motherfucker. God—the divine—whatever He/She/IT is—creates this world, and this world is a gonzo horror show of war and rape and abuse and addiction and disaster. If God is running the show, God must like it this way!"
"Highlight (Yellow)","Location 255","","But for me . . . actually, it didn't. Instead, it made me smile—perversely—and gave me a feeling of lightness, play, and possibility. Because I had also stumbled upon this further thought: maybe I'm one freaky-ass motherfucker too! What if—seriously what if—all the bad stuff had manifested in my life because I like it that way"
"Highlight (Yellow)","Location 257","","What if—seriously what if—all the bad stuff had manifested in my life because I like it that way?"
"Highlight (Yellow)","Location 264","","I hated how controlling and violent my partner was. And yet, after much inquiry and reflection, I realized I actually loved how controlling and violent he was."
"Highlight (Yellow)","Location 265","","I adored the feeling of being important that came from having this guy treat me like I was a supply of heroin that he had to manage in order to have it available at all times."
"Highlight (Yellow)","Location 265","","I adored the feeling of being important that came from having this guy treat me like I was a supply of heroin that he had to manage in order to have it available at all times."
